displayprofile,profile,groups,Ptype,type,lic
profile.Projectmanager,profile.Projectmanager,temp.adjust.input.readonly,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.admin.readonly,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.economics.readonly,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.ecoresults.deny,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.financials.deny,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.input,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,license.heavy,[Profile],License,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,profile.Reserves.Headoffice,[Profile],PROFILE,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.economics.readonly,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.ecoresults.deny,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.financials.deny,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.input,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,temp.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,license.heavy,[Profile],License,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,P2V.base,[Profile],General,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,Portfolio,[Profile],Portfolio,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,profile.Reserves.local.QRE,[Profile],PROFILE,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,Reporting,[Profile],API,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,Reserves.base,[Profile],Reserves,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,Reserves.key,[Profile],Reserves,
profile.Reserves.Headoffice,profile.Reserves.Headoffice,Reserves.Submitter,[Profile],Reserves,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,data.Corporate,[Profile],DATA,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,Input.Approve,[Profile],General,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,license.light,[Profile],License,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,P2V.base,[Profile],General,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,Portfolio,[Profile],Portfolio,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,[Profile],PROFILE,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,Reporting,[Profile],API,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,Reserves.Approver.ho,[Profile],Reserves,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,Reserves.base,[Profile],Reserves,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,Reserves.key,[Profile],Reserves,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.economics.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.ecoresults.deny,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.financials.deny,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.input,[Profile],Template,
profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,temp.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,data.Corporate,[Profile],DATA,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,DataFlow.key,[Profile],DataFlow,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,license.heavy,[Profile],License,
